email,first_name,last_name,birth_date
ivan.petrov@example.com,Иван,Петров,1990-03-05
elena.smirnova@example.com,Елена,Смирнова,1985-03-12
alexey.ivanov@example.com,Алексей,Иванов,1992-02-28
maria.volkova@example.com,Мария,Волкова,1995-02-25
mikhail.sidorov@example.com,Михаил,Сидоров,1988-07-14
anna.kuznetsova@example.com,Анна,Кузнецова,1991-11-30
dmitry.morozov@example.com,Дмитрий,Морозов,1993-06-22
olga.nikolaeva@example.com,Ольга,Николаева,1989-09-17
sergey.fedorov@example.com,Сергей,Фёдоров,1994-04-30
victoria.belova@example.com,Виктория,Белова,1996-08-05
